num;bdd;sub;age;sex;sco;sta;anc;job;deg;stc;enf;cho;lan;ste;su_1;su_2;su_3;su_4;su_5;su_6;su_7;su_8;su_9;su_10;su_11;su_12;su_13;su_14
558;2;16_2;25;2;;;;1;7;;;;;;6;5;6;5;6;6;5;6;6;6;6;6;6;6
596;2;54_2;56;2;;;;34;4;;;;;;4;6;6;5;4;7;4;6;6;5;5;4;5;6
602;2;60_2;43;2;;;;15;6;;;;;;6;5;7;5;7;6;7;6;7;6;6;5;6;6
604;2;62_2;40;1;;;;13;3;;;;;;5;5;5;6;6;4;4;6;6;5;6;5;5;6
624;3;4_3;35 à 44 ans;Femme;D.E.S, D.E.P., A.E.P. (études secondaires);;Plus de 5 ans à moins de 10 ans;;;;;;;;6;6;6;6;6;6;7;7;7;7;7;7;7;6
626;3;6_3;55 ans et plus;Femme;D.E.S, D.E.P., A.E.P. (études secondaires);;10 ans et plus;;;;;;;;7;;6;7;6;7;7;7;7;7;7;7;7;6
632;3;12_3;55 ans et plus;Femme;D.E.S, D.E.P., A.E.P. (études secondaires);;10 ans et plus;;;;;;;;6;7;5;5;4;5;7;7;6;7;6;4;5;6
634;3;14_3;25 à 34 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;1 à 5 ans;;;;;;;;3;5;6;6;3;5;3;5;6;6;6;3;6;6
642;3;22_3;45 à 54 ans;Femme;Baccalauréat (études universitaires de 1er cycle);;1 à 5 ans;;;;;;;;7;7;7;6;6;6;7;6;6;6;6;6;6;6
644;3;24_3;18 à 24 ans;Femme;D.E.C. (études collégiales);;1 à 5 ans;;;;;;;;6;5;5;6;5;6;5;6;5;4;4;3;4;6
648;3;28_3;45 à 54 ans;Femme;D.E.S, D.E.P., A.E.P. (études secondaires);;Moins de 1 an;;;;;;;;6;6;6;6;6;6;6;6;6;6;6;6;6;6
660;3;40_3;;Femme;D.E.C. (études collégiales);;10 ans et plus;;;;;;;;6;7;7;6;5;6;6;5;6;6;6;5;6;6
662;3;42_3;55 ans et plus;Femme;D.E.C. (études collégiales);;1 à 5 ans;;;;;;;;7;7;7;6;5;6;6;6;6;6;6;6;6;6
666;3;46_3;55 ans et plus;Femme;D.E.C. (études collégiales);;10 ans et plus;;;;;;;;6;6;6;6;6;6;6;6;5;5;6;6;6;6
672;3;52_3;25 à 34 ans;Femme;Maîtrise (études universitaires de 2e cycle);;Moins de 1 an;;;;;;;;5;4;6;4;7;5;6;7;6;6;7;4;5;6
